"id","Csize","life_cycle","subspecies","country"
"A_Ichthyosaura_alpestris_IRSNB_15370_cranium",1.4668928916525,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_1119-54_cranium",1.5036584245922,"metamorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_MHNG_2409-84_cranium",1.4671111294399,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_2409-85_cranium",1.45838211286752,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_2409-86_cranium",1.42648507333284,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_2409-87_cranium",1.45753345265675,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_2409-88_cranium",1.4089494861239,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_2409-89_cranium",1.43915273989252,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_2409-90_cranium",1.40201465480769,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_741-28A_cranium",1.43474475713935,"metamorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_MHNG_877-87N_cranium",1.49443252021744,"metamorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_MHNG_915-1_cranium",1.47979033855649,"metamorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_MHNG_915-5_cranium",1.4179390915715,"metamorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_MNHN_1992-2685_cranium",1.44243239558794,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2686_cranium",1.45113793043283,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2687_cranium",1.47926901452322,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2754_cranium",1.41790725083167,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2755_cranium",1.36614701214592,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2756_cranium",1.36492014282558,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2757_cranium",1.39554155518443,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2758_cranium",1.38300536289304,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2759_cranium",1.37831359714102,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2760_cranium",1.36081430853623,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2761_cranium",1.36080528733192,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2797_cranium",1.40463310550933,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2822_cranium",1.33193037383626,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2823_cranium",1.36862858017938,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2824_cranium",1.33795779606756,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2825_cranium",1.3186462065849,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2926_cranium",1.34323987266738,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2931_cranium",1.45040788001446,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2932_cranium",1.48779732646397,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2933_cranium",1.35299253558448,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2934_cranium",1.37418979452661,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2935_cranium",1.35018496474533,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2936_cranium",1.36744911150524,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_176570_cranium",1.42199335774653,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_176571_cranium",1.44164668210088,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178851_cranium",1.40355384732456,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178852-cranium",1.4529492257355,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178853_cranium",1.41524347555724,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178854_cranium",1.41398308353163,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178855_cranium",1.42885770473957,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178856_cranium",1.42084557406037,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178857_cranium",1.41433059878769,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178858_cranium",1.40825856119906,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178859_cranium",1.40275575088617,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_191954_cranium",1.46529604271882,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_191955_cranium",1.47810282818346,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_191956_cranium",1.45571216545663,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_191957_cranium",1.46769270065497,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_NMB_6275_cranium",1.40487384228002,"metamorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMB_6276_cranium",1.47127066934604,"metamorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMB_6277_cranium",1.38294045786136,"metamorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMB_6278_cranium",1.43764886986577,"metamorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMB_6279_cranium",1.41301296806193,"metamorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMB_6280_cranium",1.40290577133471,"metamorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMBE_1016799_cranium",1.4248260016121,"paedomorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_NMBE_1016900_cranium",1.41701503684593,"paedomorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_NMBE_1047562_cranium",1.49359765414469,"paedomorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_NMBE_1053490_cranium",1.37964016900455,"paedomorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_NMW_8773-1_cranium",1.37079737860862,"paedomorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_NMW_8866-1_cranium",1.51722892579191,"paedomorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMW_8866-3_cranium",1.48343112589652,"paedomorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMW_8866-4_cranium",1.52691208241575,"paedomorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMW_8866-5_cranium",1.47194984109475,"paedomorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMW_8866-6_cranium",1.47969841560967,"paedomorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMW_8866-7_cranium",1.5027449338801,"paedomorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMW_8866-8_cranium",1.50298665475445,"paedomorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMW_8866-9_cranium",1.55964506174553,"paedomorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_SMA_14018_cranium",1.425807837555,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_14019_cranium",1.39851039545534,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_14020_cranium",1.3882500451016,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20401_cranium",1.43661510420997,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20402_cranium",1.42125224528885,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20403_cranium",1.4293336267432,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20404_cranium",1.44464823700427,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20405_cranium",1.44011532139452,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20406_cranium",1.41400294577112,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20407_cranium",1.41767788462606,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20408_cranium",1.42051493163638,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20409_cranium",1.47300335476921,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20410_cranium",1.41592121932888,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20411_cranium",1.42605330090823,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20412_cranium",1.45085203786715,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20413_cranium",1.43707287806064,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20414_cranium",1.44626447432755,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20415_cranium",1.40087087190464,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20416_cranium",1.39510230827296,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20417_cranium",1.39757870438527,"paedomorphic","apuana","Italy"
